Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2023,December,12/23/2023,pg&e,Bills & Utilities,-21.76,Credit,BofA,Custom Cash
2023,December,12/19/2023,transfer,transfer,277.05,Credit,BofA,Custom Cash
2023,December,12/14/2023,costco,grocery,-95.84,Credit,BofA,Custom Cash
2023,December,12/12/2023,xfinity mobile,Bills & Utilities,-38.97,Credit,BofA,Custom Cash
2023,December,12/11/2023,costco,grocery,-111.62,Credit,BofA,Custom Cash
2023,December,12/11/2023,xfinity internet,Bills & Utilities,-30.0,Credit,BofA,Custom Cash
2023,December,12/08/2023,pge,Bills & Utilities,-61.44,Credit,BofA,Custom Cash
2023,December,12/08/2023,eid,Bills & Utilities,-114.3,Credit,BofA,Custom Cash
2023,December,12/05/2023,fairyloot,Bills & Utilities,-34.9,Credit,BofA,Custom Cash
2023,December,12/02/2023,el dorado trash,Bills & Utilities,-72.42,Credit,BofA,Custom Cash
2023,December,12/02/2023,officemax,Shopping,-1.47,Credit,BofA,Custom Cash
2023,December,12/01/2023,costco,grocery,-41.65,Credit,BofA,Custom Cash
2023,November,11/30/2023,in n out,Restaurant,-7.87,Credit,BofA,Custom Cash
2023,November,11/29/2023,fairyloot,Bills & Utilities,-110.4,Credit,BofA,Custom Cash
2023,November,11/27/2023,costco,grocery,-43.3,Credit,BofA,Custom Cash
2023,November,11/27/2023,carl's jr.,Restaurant,-7.5,Credit,BofA,Custom Cash
2023,November,11/27/2023,gen korean bbq,Restaurant,-69.32,Credit,BofA,Custom Cash
