Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,January,01/19/2024,fairyloot,Bills & Utilities,-37.9,Credit,BofA,Custom Cash
2024,January,01/19/2024,transfer,transfer,862.76,Credit,BofA,Custom Cash
2024,January,01/12/2024,pg&e,Bills & Utilities,-44.48,Credit,BofA,Custom Cash
2024,January,01/11/2024,xfinity mobile,Bills & Utilities,-37.36,Credit,BofA,Custom Cash
2024,January,01/10/2024,pge,Bills & Utilities,-49.4,Credit,BofA,Custom Cash
2024,January,01/09/2024,xfinity internet,Bills & Utilities,-30.0,Credit,BofA,Custom Cash
2024,January,01/05/2024,costco,grocery,-19.49,Credit,BofA,Custom Cash
2024,January,01/05/2024,fairyloot,Bills & Utilities,-34.9,Credit,BofA,Custom Cash
2023,December,12/29/2023,el dorado trash,Bills & Utilities,9.05,Credit,BofA,Custom Cash
2023,December,12/26/2023,fred meyer,Groceries,-46.03,Credit,BofA,Custom Cash
2023,December,12/26/2023,asian family market,Groceries,-16.77,Credit,BofA,Custom Cash
