Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,June,06/19/2024,transfer,transfer,250.8,Credit,BofA,Custom Cash
2024,June,06/19/2024,transfer,transfer,888.25,Credit,BofA,Custom Cash
2024,June,06/12/2024,xfinity mobile,Bills & Utilities,-54.18,Credit,BofA,Custom Cash
2024,June,06/10/2024,xfinity internet,Bills & Utilities,-30.0,Credit,BofA,Custom Cash
2024,June,06/07/2024,fairyloot,Bills & Utilities,-38.0,Credit,BofA,Custom Cash
2024,June,06/04/2024,pge,Bills & Utilities,-29.92,Credit,BofA,Custom Cash
2024,June,06/03/2024,costco,grocery,-44.55,Credit,BofA,Custom Cash
2024,May,05/28/2024,steam,Shopping,-7.99,Credit,BofA,Custom Cash
2024,May,05/27/2024,gas,Gas,-38.17,Credit,BofA,Custom Cash
2024,May,05/27/2024,steam,Shopping,-7.99,Credit,BofA,Custom Cash
