Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,May,05/23/2024,google xavier liard,Gas,-3.99,Credit,BofA,Custom Cash
2024,May,05/21/2024,safeway,Groceries,-36.6,Credit,BofA,Custom Cash
2024,May,05/20/2024,transfer,transfer,434.63,Credit,BofA,Custom Cash
2024,May,05/18/2024,costco,grocery,-82.44,Credit,BofA,Custom Cash
2024,May,05/13/2024,xfinity mobile,Bills & Utilities,-38.18,Credit,BofA,Custom Cash
2024,May,05/10/2024,costco,grocery,-52.33,Credit,BofA,Custom Cash
2024,May,05/10/2024,xfinity internet,Bills & Utilities,-25.0,Credit,BofA,Custom Cash
2024,May,05/08/2024,pge,Bills & Utilities,-54.01,Credit,BofA,Custom Cash
2024,May,05/06/2024,costco,grocery,-428.26,Credit,BofA,Custom Cash
2024,May,05/06/2024,fairyloot,Bills & Utilities,-34.9,Credit,BofA,Custom Cash
2024,April,04/29/2024,costco,grocery,-40.95,Credit,BofA,Custom Cash
2024,April,04/29/2024,costco,grocery,-91.59,Credit,BofA,Custom Cash
