Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2023,October,10/21/2023,pg&e,Bills & Utilities,-67.56,Credit,BofA,Custom Cash
2023,October,10/19/2023,transfer,transfer,89.6,Credit,BofA,Custom Cash
2023,October,10/17/2023,amazon,Shopping,-39.98,Credit,BofA,Custom Cash
2023,October,10/12/2023,amazon,Shopping,-138.35,Credit,BofA,Custom Cash
2023,October,10/10/2023,costco,grocery,-48.77,Credit,BofA,Custom Cash
2023,October,10/09/2023,xfinity internet,Bills & Utilities,-75.0,Credit,BofA,Custom Cash
2023,October,10/07/2023,pge,Bills & Utilities,-58.98,Credit,BofA,Custom Cash
2023,October,10/07/2023,eid,Bills & Utilities,-130.23,Credit,BofA,Custom Cash
2023,October,10/07/2023,california dmv,Bills & Utilities,-201.0,Credit,BofA,Custom Cash
2023,October,10/07/2023,fee,cash,-3.92,Credit,BofA,Custom Cash
2023,October,10/03/2023,xfinity internet,Bills & Utilities,-6.69,Credit,BofA,Custom Cash
2023,October,10/03/2023,el dorado trash,Bills & Utilities,-72.42,Credit,BofA,Custom Cash
2023,September,09/29/2023,usps,Shopping,-1.1,Credit,BofA,Custom Cash
2023,September,09/29/2023,usps,Shopping,-1.1,Credit,BofA,Custom Cash
2023,September,09/27/2023,xfinity mobile,Bills & Utilities,-19.12,Credit,BofA,Custom Cash
