Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,September,09/23/2024,costco,grocery,-23.56,Credit,BofA,Custom Cash
2024,September,09/23/2024,costco,grocery,-150.15,Credit,BofA,Custom Cash
2024,September,09/23/2024,costco,grocery,-51.94,Credit,BofA,Custom Cash
2024,September,09/23/2024,costco,grocery,19.99,Credit,BofA,Custom Cash
2024,September,09/23/2024,costco,grocery,39.99,Credit,BofA,Custom Cash
2024,September,09/21/2024,costco,grocery,-38.62,Credit,BofA,Custom Cash
2024,September,09/19/2024,costco,grocery,-17.99,Credit,BofA,Custom Cash
2024,September,09/16/2024,costco,grocery,-34.48,Credit,BofA,Custom Cash
2024,September,09/16/2024,costco,grocery,-245.33,Credit,BofA,Custom Cash
2024,September,09/16/2024,costco,grocery,49.99,Credit,BofA,Custom Cash
2024,September,09/12/2024,transfer,transfer,242.96,Credit,BofA,Custom Cash
2024,September,09/07/2024,costco,grocery,-27.18,Credit,BofA,Custom Cash
2024,September,09/07/2024,costco,grocery,-140.89,Credit,BofA,Custom Cash
2024,September,09/05/2024,fairyloot,Bills & Utilities,-34.9,Credit,BofA,Custom Cash
2024,September,09/04/2024,costco,grocery,-39.99,Credit,BofA,Custom Cash
