Year,Month,Date,Description,Category,Amount,Account,Bank,Card
,,,amazon,Shopping,-62.31,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-29.99,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,amazon,Shopping,-16.99,Credit,Chase,Amazon
,,,transfer,transfer,227.09,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-17.99,Credit,Chase,Amazon
,,,amazon,Shopping,-7.89,Credit,Chase,Amazon
,,,amazon,Shopping,-9.67,Credit,Chase,Amazon
,,,amazon,Shopping,-44.47,Credit,Chase,Amazon
,,,amazon,Shopping,-38.99,Credit,Chase,Amazon
,,,amazon,Shopping,-53.73,Credit,Chase,Amazon
,,,amazon,Shopping,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-20.38,Credit,Chase,Amazon
,,,amazon,Shopping,-4.0,Credit,Chase,Amazon
,,,transfer,transfer,955.44,Credit,Chase,Amazon
,,,amazon,Shopping,-209.0,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,34.9,Credit,Chase,Amazon
,,,amazon,Shopping,20.99,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,amazon,Shopping,-89.01,Credit,Chase,Amazon
,,,amazon,Shopping,-221.44,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-24.03,Credit,Chase,Amazon
,,,amazon,Shopping,-89.39,Credit,Chase,Amazon
,,,amazon,Shopping,-14.95,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,amazon,Shopping,-6.29,Credit,Chase,Amazon
,,,amazon,Shopping,-199.98,Credit,Chase,Amazon
,,,amazon,Shopping,-10.0,Credit,Chase,Amazon
,,,amazon,Shopping,-56.93,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,transfer,transfer,80.58,Credit,Chase,Amazon
,,,amazon,Shopping,-48.42,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-59.8,Credit,Chase,Amazon
,,,amazon,Shopping,-10.79,Credit,Chase,Amazon
,,,transfer,transfer,200.95,Credit,Chase,Amazon
,,,amazon,Shopping,-38.98,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,34.9,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,costco,grocery,-120.0,Credit,Chase,Amazon
,,,amazon,Shopping,-31.98,Credit,Chase,Amazon
,,,transfer,transfer,9.99,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,transfer,transfer,785.82,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-38.0,Credit,Chase,Amazon
,,,amazon,Shopping,-26.39,Credit,Chase,Amazon
,,,mud bay,Shopping,-60.99,Credit,Chase,Amazon
,,,fred meyer,Groceries,-18.9,Credit,Chase,Amazon
,,,asian family market,Groceries,-11.56,Credit,Chase,Amazon
,,,costco,grocery,24.99,Credit,Chase,Amazon
,,,chipotle,Restaurant,-10.05,Credit,Chase,Amazon
,,,safeway,Groceries,-3.28,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,hmart,Groceries,-54.16,Credit,Chase,Amazon
,,,jack in the box,Restaurant,-9.99,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-11.86,Credit,Chase,Amazon
,,,amazon,Shopping,-65.84,Credit,Chase,Amazon
,,,transfer,transfer,1352.69,Credit,Chase,Amazon
,,,tj maxx,Shopping,-57.99,Credit,Chase,Amazon
,,,craft warehouse,Shopping,-16.96,Credit,Chase,Amazon
,,,amazon,Shopping,-3.99,Credit,Chase,Amazon
,,,amazon,Shopping,-34.96,Credit,Chase,Amazon
,,,outback,Restaurant,-90.8,Credit,Chase,Amazon
,,,safeway,Groceries,-6.81,Credit,Chase,Amazon
,,,amazon,Shopping,20.98,Credit,Chase,Amazon
,,,next level,Shopping,-44.0,Credit,Chase,Amazon
,,,amelia,Restaurant,-47.77,Credit,Chase,Amazon
,,,fairyloot,Bills & Utilities,-34.9,Credit,Chase,Amazon
,,,amazon,Shopping,-18.98,Credit,Chase,Amazon
,,,amazon,Shopping,-21.55,Credit,Chase,Amazon
,,,amazon,Shopping,-24.99,Credit,Chase,Amazon
,,,amazon prime,Bills & Utilities,-6.99,Credit,Chase,Amazon
,,,mcdonalds,Shopping,-12.16,Credit,Chase,Amazon
,,,amazon,Shopping,-18.0,Credit,Chase,Amazon
,,,doordash pass,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,cricut subscription,Bills & Utilities,-9.99,Credit,Chase,Amazon
,,,amazon,Shopping,-11.99,Credit,Chase,Amazon
,,,amazon,Shopping,-22.99,Credit,Chase,Amazon
,,,retro games,Shopping,-15.0,Credit,Chase,Amazon
,,,retro games,Shopping,-103.0,Credit,Chase,Amazon
