Year,Month,Date,Description,Category,Amount,Account,Bank,Card
2024,January,01/08/2024,transfer,transfer,-801.14,Debit,BofA,Savings
2024,January,01/08/2024,fee,cash,-8.0,Debit,BofA,Savings
2024,January,01/09/2024,zelle,cash,950.0,Debit,BofA,Savings
2024,January,01/09/2024,transfer,transfer,-930.0,Debit,BofA,Savings
2024,January,01/22/2024,zelle,cash,264.0,Debit,BofA,Savings
2024,January,01/30/2024,zelle,cash,288.0,Debit,BofA,Savings
2024,February,02/01/2024,zelle,cash,100.0,Debit,BofA,Savings
2024,February,02/05/2024,zelle,cash,350.0,Debit,BofA,Savings
2024,February,02/05/2024,zelle,cash,200.0,Debit,BofA,Savings
2024,February,02/05/2024,transfer,transfer,-1213.9,Debit,BofA,Savings
2024,February,02/05/2024,interest,cash,0.01,Debit,BofA,Savings
