merchant,category
abercrombie,shopping
adidas,shopping
airbnb,travel
airport parking,travel
alamo,travel
aldi,groceries
amazon,shopping
amazon prime,subscriptions
american eagle,shopping
apple store,shopping
aritzia,shopping
auntie anne's,dining
barnes & noble,shopping
bath & body works,shopping
batteries plus,shopping
big fish games,shopping
big lots,shopping
birkenstock,shopping
burger king,dining
calvin klein,shopping
carl's jr,dining
carl's jr.,dining
century theatres,misc
chase travel,travel
chewy,groceries
chipotle,dining
cinemark theatres,misc
cold stone creamery,dining
costco,groceries
coursera,misc
cricut subscription,subscriptions
daiso,shopping
daves hot chicken,dining
denny's,dining
deposit,cash
din tai fung,dining
disney store,shopping
dollar tree,shopping
domino's,dining
door dash pass,subscriptions
doordash,dining
doordash pass,subscriptions
dsw shoes,shopping
dutch bros,dining
enterprise,travel
etsy,shopping
fairyloot,subscriptions
fedex,misc
fee,misc
five guys,dining
free tax usa,misc
funko,shopping
gas,gas
global entry,misc
gnc,shopping
goodwill,shopping
h mart,groceries
haidilao,dining
hertz,travel
hmart,groceries
home depot,shopping
homegoods,shopping
honeybaked ham,dining
hulu plus,subscriptions
ikea,shopping
in n out,dining
interest,cash
jack in the box,dining
jamba juice,dining
jersey mikes,dining
kfc,dining
kindle subscription,subscriptions
kinokuniya,shopping
kohl's,shopping
krispy kreme,dining
litjoy,shopping
lowes,shopping
lyft,travel
marriott,travel
mcdonald's,dining
mercari,shopping
michaels,shopping
movinghelp,misc
muji,shopping
national park pass,travel
nexus mods,shopping
office depot,shopping
officemax,shopping
outback,dining
panda express,dining
paris baguette,dining
parking,travel
paypal,cash
petco,shopping
petsmart,groceries
pinkberry,dining
prime video,subscriptions
progressive,utilities
red robin,dining
rei,shopping
rite aid,shopping
ross,shopping
rover,misc
rugsusa,shopping
safeway,groceries
sephora,shopping
shake shack,dining
shoprite,shopping
sierra,shopping
staples,shopping
starbucks,dining
steam,shopping
subway,dining
target,groceries
tiktok,shopping
tj maxx,shopping
trader joe's,groceries
transfer,transfer
travel,travel
u-haul,travel
uber,travel
ups,shopping
usps,shopping
valvoline,misc
visible,utilities
walgreens,shopping
walmart,groceries
wendy's,dining
wingstop,dining
withdrawal,cash
xfinity internet,utilities
xfinity mobile,utilities
zelle,cash
